MERTENS,7,6,6,142,0,861,164,Optimal,0.0014488697052001953
MERTENS,7,2,18,334,0,1819,54,Optimal,0.0045986175537109375
MERTENS,7,5,7,146,0,697,141,Optimal,0.0012722015380859375
MERTENS,7,5,8,166,0,854,141,Optimal,0.0016608238220214844
MERTENS,7,3,10,178,0,711,99,Optimal,0.0017936229705810547
MERTENS,7,2,15,271,0,1132,62,Optimal,0.0026102066040039062
BOWMAN,8,5,20,386,386,6855,146,Optimal,0.03369259834289551
JAESCHKE,9,8,6,200,0,730,173,Optimal,0.0011534690856933594
JAESCHKE,9,3,18,448,2110,6693,47,Optimal,0.04027581214904785
JAESCHKE,9,6,8,220,0,801,104,Optimal,0.0017571449279785156
JAESCHKE,9,4,10,246,0,1117,91,Optimal,0.0019941329956054688
JAESCHKE,9,3,18,448,2110,6693,47,Optimal,0.04012703895568848
JACKSON,11,8,7,281,0,1741,166,Optimal,0.003093242645263672
JACKSON,11,3,21,645,3362,12316,57,Optimal,0.13644003868103027
JACKSON,11,6,9,310,0,2158,142,Optimal,0.002607583999633789
JACKSON,11,5,10,325,0,2340,121,Optimal,0.004255056381225586
JACKSON,11,4,13,401,2094,7065,90,Optimal,0.05489397048950195
JACKSON,11,4,14,434,2255,7633,83,Optimal,0.07567167282104492
MANSOOR,11,4,48,1280,0,10311,111,Optimal,0.01940155029296875
MANSOOR,11,2,94,2754,0,26417,71,Optimal,0.053461551666259766
MANSOOR,11,3,62,1721,0,15057,99,Optimal,0.014973163604736328
MITCHELL,21,8,14,898,7362,20468,225,Optimal,0.26677608489990234
MITCHELL,21,3,39,2331,17342,57002,84,Optimal,0.8437559604644775
MITCHELL,21,8,15,965,7888,22594,204,Optimal,0.30303239822387695
MITCHELL,21,5,21,1255,10932,31077,160,Optimal,0.1738893985748291
MITCHELL,21,5,26,1578,13550,43110,117,Optimal,2.845970392227173
MITCHELL,21,3,35,2075,0,16527,101,Optimal,0.09016132354736328
ROSZIEG,25,10,14,1181,9392,36709,242,Optimal,0.6991820335388184
ROSZIEG,25,4,32,2294,16531,60793,118,Optimal,1.428623914718628
ROSZIEG,25,6,25,1853,15310,56607,135,Optimal,196.90420746803284
ROSZIEG,25,8,16,1239,9863,33320,221,Optimal,0.19032907485961914
ROSZIEG,25,8,18,1404,11102,43306,186,Optimal,31.44166660308838
ROSZIEG,25,6,21,1544,12853,43252,163,Optimal,0.9054372310638428
HESKIA,28,8,138,9928,99801,596380,229,Optimal,513.597247838974
HESKIA,28,3,342,26792,192007,1062296,97,Optimal,258.26806378364563
HESKIA,28,5,205,15391,135143,734764,156,Optimal,215.88279008865356
HESKIA,28,5,216,16317,142493,795979,148,Optimal,893.5908079147339
HESKIA,28,4,256,19624,169160,913640,127,Optimal,420.14924716949463
HESKIA,28,4,324,25336,0,1127647,125,TIMEOUT,3602.3415009975433
BUXEY,29,7,47,3750,36257,153041,184,Optimal,6.403168201446533
BUXEY,29,8,41,3283,31644,146532,194,Optimal,58.668983936309814
BUXEY,29,11,33,2716,27433,128912,238,Optimal,2582.052567720413
BUXEY,29,13,27,2284,22513,106201,292,Optimal,12.199707984924316
BUXEY,29,12,30,2509,0,125008,293,TIMEOUT,3600.479096889496
BUXEY,29,7,54,4368,0,189851,169,TIMEOUT,3600.330832719803
BUXEY,29,10,36,2949,0,142759,248,TIMEOUT,3600.3171780109406
SAWYER,30,14,25,2289,23424,125599,282,Optimal,4.221826791763306
SAWYER,30,7,47,3917,39716,178826,158,Optimal,6.561439037322998
SAWYER,30,8,41,3434,34667,169980,168,Optimal,307.2518470287323
SAWYER,30,12,30,2644,27999,150449,229,Optimal,1328.4367952346802
SAWYER,30,13,27,2411,25234,127745,268,Optimal,3.03901743888855
SAWYER,30,11,33,2858,0,150607,251,TIMEOUT,3600.5732855796814
SAWYER,30,10,36,3075,0,154016,225,TIMEOUT,3600.3221065998077
